id,エネミー名前,タイプ,座標_x,座標_y,座標_z,移動方向と移動量,HP,移動速度,攻撃時間,出現星数
1,moai,MoveEnemy,10,2,0,-4,1000000,4,3,1
2,moai,NotMoveEnemy,15.3,2.85,0,0,2000000,0,0,1
3,moai,NotMoveEnemy,21.5,0.7,0,0,3000000,0,0,1
4,moai,MoveEnemy,28,2,0,-2,2000000,2,2,1
5,moai,AirMoveEnemy,42,7,0,-3,1000000,3,1,1
6,moai,AirMoveEnemy,55,7,0,-6,1500000,3,1,1
7,moai,AirMoveEnemy,62.5,7,0,-6,1000000,3,0.5,1
8,moai,MoveEnemy,64,2,0,-3,4200000,4,2,1
9,moai,MoveEnemy,80,2,0,-4,2000000,6,3,1
10,moai,MoveEnemy,83,2,0,4,2500000,2,1.5,1
11,moai,MoveEnemy,94,2,0,-3,2500000,4,3,1
12,moai,AirMoveEnemy,98.5,7,0,-8,2000000,2,1,1
13,moai,AirMoveEnemy,102,7,0,8,1500000,4,1,1
14,moai,MoveEnemy,103,2,0,5,2500000,3,2,1
15,moai,MoveEnemy,118,2,0,-3,3000000,6,1.5,1
16,moai,MoveEnemy,120,2,0,-6,2000000,6,0.5,1
17,boss,None,0,0,0,0,0,0,0,0
